year,county,crop,yield
1949,Peterborough,corn,50
1950,Peterborough,corn,40
1950,Peterborough,soybean,16
1951,Peterborough,corn,51.5
1951,Peterborough,soybean,7.1
1952,Peterborough,corn,55.4
1953,Peterborough,corn,50
1954,Peterborough,corn,46
1955,Peterborough,corn,55
1956,Peterborough,corn,54
1956,Peterborough,soybean,20
1957,Peterborough,corn,52.6
1958,Peterborough,corn,58
1959,Peterborough,corn,53.2
1960,Peterborough,corn,50
1961,Peterborough,corn,63.2
1962,Peterborough,corn,63.6
1963,Peterborough,corn,66
1964,Peterborough,corn,67.9
1965,Peterborough,corn,73
1965,Peterborough,soybean,21
1966,Peterborough,corn,57.2
1966,Peterborough,soybean,18.6
1967,Peterborough,corn,69.6
1968,Peterborough,corn,79
1968,Peterborough,soybean,23
1969,Peterborough,corn,74
1970,Peterborough,corn,76
1971,Peterborough,corn,76
1971,Peterborough,soybean,27
1972,Peterborough,corn,65.7
1973,Peterborough,corn,79.4
1974,Peterborough,corn,74
1975,Peterborough,corn,60
1976,Peterborough,corn,74
1977,Peterborough,corn,79
1978,Peterborough,corn,63
1979,Peterborough,corn,82
1980,Peterborough,corn,82
1981,Peterborough,corn,69
1982,Peterborough,corn,82
1983,Peterborough,corn,77
1984,Peterborough,corn,83
1985,Peterborough,corn,76
1986,Peterborough,corn,86
1987,Peterborough,corn,97
1988,Peterborough,corn,64
1989,Peterborough,corn,87
1990,Peterborough,corn,94
1991,Peterborough,corn,x
1992,Peterborough,corn,87
1993,Peterborough,corn,102.8
1994,Peterborough,corn,101
1995,Peterborough,corn,100
1996,Peterborough,corn,97
1996,Peterborough,soybean,35
1997,Peterborough,corn,80
1997,Peterborough,soybean,30
1998,Peterborough,corn,110
1998,Peterborough,soybean,38
1999,Peterborough,corn,109
2000,Peterborough,corn,92
2000,Peterborough,soybean,30
2001,Peterborough,corn,60.4
2001,Peterborough,soybean,16.5
2002,Peterborough,corn,114.8
2002,Peterborough,soybean,32.8
2003,Peterborough,corn,109
2003,Peterborough,soybean,26
2004,Peterborough,corn,104
2004,Peterborough,soybean,35
2004,Peterborough,wheat,48.97394034
2005,Peterborough,corn,90
2005,Peterborough,soybean,31
2005,Peterborough,wheat,46.18093862
2006,Peterborough,corn,118
2006,Peterborough,soybean,36
2006,Peterborough,wheat,63
2007,Peterborough,corn,100
2007,Peterborough,soybean,24
2007,Peterborough,wheat,53
2008,Peterborough,corn,121
2008,Peterborough,soybean,35
2008,Peterborough,wheat,62
2009,Peterborough,corn,113
2009,Peterborough,soybean,32
2009,Peterborough,wheat,50
2010,Peterborough,corn,150
2010,Peterborough,soybean,43
2010,Peterborough,wheat,60
2011,Peterborough,corn,149
2011,Peterborough,soybean,41
2011,Peterborough,wheat,70.94441064
2012,Peterborough,corn,110.4928541
2012,Peterborough,soybean,33.46129842
2012,Peterborough,wheat,68.17383763
2013,Peterborough,corn,128.6362428
2013,Peterborough,soybean,40.30145967
2013,Peterborough,wheat,58.66262878
2014,Peterborough,corn,141.1
2014,Peterborough,soybean,39
2014,Peterborough,wheat,63.1
2015,Peterborough,corn,141.1
2015,Peterborough,soybean,39.4
2015,Peterborough,wheat,63.1
2016,Peterborough,corn,93.26628336
2016,Peterborough,soybean,25.90039841
2016,Peterborough,wheat,60.76595745
2017,Peterborough,corn,152.2402597
2017,Peterborough,soybean,36.62567915
2017,Peterborough,wheat,65.16287701
2018,Peterborough,corn,133.3333333
2018,Peterborough,soybean,38.83495146
2018,Peterborough,wheat,67.22240762
2019,Peterborough,corn,105.4988
2019,Peterborough,soybean,28.9
2019,Peterborough,wheat,54.28133838
2020,Peterborough,corn,143.5117419
2020,Peterborough,soybean,40.10695187
2020,Peterborough,wheat,55.1
2021,Peterborough,corn,133.3806035
2021,Peterborough,soybean,44.35170405
2021,Peterborough,wheat,68.23893574
2022,Peterborough,corn,100.9282884
2022,Peterborough,soybean,41.31309903
2022,Peterborough,wheat,88.24503071
2023,Peterborough,wheat,71.81512844
2024,Peterborough,wheat,66.31950969
